Venta_ID,Fecha_ISO,Tienda_ID,SKU_ID,Pais_Venta,CLIENTE_NOMBRE_PII,CLIENTE_EMAIL_PII,CLIENTE_EDAD_PII,Moneda_Transaccion,Monto_Total_Local,Impuesto_Local,Tasa_Referencia_Dia,Metodo_Pago,Es_Online,Canal_Origen,Costo_Envio_USD,Latitud_Tienda,Longitud_Tienda,Browser_User_Agent,ID_Session_Web,Flag_Fraude,Version_Esquema,Ref_S3_TXT
TXN-600014,2025-09-01T15:00:20.748345,STORE-007,SKU-00067,España,Josue Castañeda,user_14@españa.com,45,EUR,1473.03,220.96,0.92,Unknown,1,Web,11.23,27.4525,-171.079,Mozilla/5.0... (Simulado),0x3fd5b543,0,v2.4.1,TXN-600014.txt
TXN-600015,2025-08-25T15:00:20.769409,STORE-001,SKU-00119,UK,Null User,user_15@uk.com,36,GBP,364.5,52.07,0.79,Crypto,1,Store,17.08,81.4726,126.1203,Mozilla/5.0... (Simulado),0xbe735e68,0,v2.4.1,TXN-600015.txt
TXN-600016,2025-10-01T15:00:20.788041,STORE-020,SKU-00007,México,Josue Castañeda,user_16@méxico.com,30,MXN,10708.46,1223.82,17.5,Credit Card,0,Web,16.07,-2.3111,-89.6821,Mozilla/5.0... (Simulado),0xb751b643,1,v2.4.1,TXN-600016.txt
TXN-600017,2025-11-27T15:00:20.807980,STORE-011,SKU-00092,USA,Josue Castañeda,user_17@usa.com,30,USD,1230.82,61.54,1,Credit Card,1,Web,31.16,73.9703,-33.0384,Mozilla/5.0... (Simulado),0x2082b649,0,v2.4.1,TXN-600017.txt
TXN-600018,2025-06-14T15:00:20.828824,STORE-011,SKU-ERROR-9187,USA,Müller S.,user_18@usa.com,38,USD,140,7,1,Cash,0,Store,35.79,83.8608,176.0495,Mozilla/5.0... (Simulado),0xf5821c47,1,v2.4.1,TXN-600018.txt
TXN-600019,2025-05-06T15:00:20.849739,STORE-003,SKU-00095,Colombia,Müller S.,user_19@colombia.com,43,JPY,5625027.8,763396.63,4100,Credit Card,0,Store,48.96,-87.6044,-174.0677,Mozilla/5.0... (Simulado),0xb66c0f0e,0,v2.4.1,TXN-600019.txt
TXN-600020,2025-09-08T15:00:20.868827,STORE-006,SKU-00135,UK,Null User,user_20@uk.com,37,GBP,856.57,122.37,0.79,Unknown,1,App,32.81,-53.9299,-127.8592,Mozilla/5.0... (Simulado),0x2131fbb2,1,v2.4.1,TXN-600020.txt
TXN-600021,2026-01-23T15:00:20.890069,STORE-019,SKU-00117,USA,Null User,user_21@usa.com,23,USD,209.3,10.47,1,Cash,0,Web,49.18,13.1302,-7.6934,Mozilla/5.0... (Simulado),0xf27d7139,0,v2.4.1,TXN-600021.txt
TXN-600022,2025-10-07T15:00:20.908807,STORE-014,SKU-00129,USA,Josue Castañeda,user_22@usa.com,32,USD,165.3,8.26,1,Crypto,1,Store,29.1,-3.9432,-87.7364,Mozilla/5.0... (Simulado),0x247bd64,0,v2.4.1,TXN-600022.txt
TXN-600023,2025-09-16T15:00:20.929320,STORE-005,SKU-00086,México,Ángel Niño,user_23_wrong_mail,26,MXN,20637.58,2358.58,17.5,Cash,0,App,49.71,23.2263,61.3238,Mozilla/5.0... (Simulado),0x325a65d9,0,v2.4.1,TXN-600023.txt
