Venta_ID,Fecha_ISO,Tienda_ID,SKU_ID,Pais_Venta,CLIENTE_NOMBRE_PII,CLIENTE_EMAIL_PII,CLIENTE_EDAD_PII,Moneda_Transaccion,Monto_Total_Local,Impuesto_Local,Tasa_Referencia_Dia,Metodo_Pago,Es_Online,Canal_Origen,Costo_Envio_USD,Latitud_Tienda,Longitud_Tienda,Browser_User_Agent,ID_Session_Web,Flag_Fraude,Version_Esquema,Ref_S3_TXT
TXN-600000,2025-08-11T15:00:20.491637,STORE-001,SKU-00077,UK,Null User,user_0@uk.com,44.0,GBP,1024.76,146.39,0.79,Crypto,No,App,34.67,-18.0086,0.0843,Mozilla/5.0... (Simulado),0xcb2c83f6,0,v2.4.1,TXN-600000.txt
TXN-600001,2026-01-29T15:00:20.511040,STORE-017,SKU-00008,USA,Müller S.,user_1@usa.com,33.0,USD,706.16,35.31,1.0,Crypto,No,App,45.37,-38.3724,127.374,Mozilla/5.0... (Simulado),0xd141323f,0,v2.4.1,TXN-600001.txt
TXN-600002,2025-10-30T15:00:20.526154,STORE-009,SKU-00082,USA,Müller S.,user_2@usa.com,25.0,USD,1394.57,69.73,1.0,Crypto,True,Web,25.97,15.9027,-47.2338,Mozilla/5.0... (Simulado),0x74f10ced,0,v2.4.1,TXN-600002.txt
TXN-600003,2025-06-06T15:00:20.545533,STORE-013,SKU-00112,USA,Müller S.,user_3@usa.com,27.0,USD,1196.51,59.83,1.0,Crypto,0,App,24.61,-76.6412,-88.2098,Mozilla/5.0... (Simulado),0x14137032,0,v2.4.1,TXN-600003.txt
TXN-600004,2025-05-01T15:00:20.566309,STORE-005,SKU-00090,México,Müller S.,user_4@méxico.com,28.0,MXN,2771.44,316.74,17.5,Crypto,True,App,44.01,66.3781,57.1449,Mozilla/5.0... (Simulado),0x9671de31,0,v2.4.1,TXN-600004.txt
TXN-600005,2025-10-01T15:00:20.584707,STORE-008,SKU-00105,UK,Müller S.,user_5@uk.com,32.0,GBP,704.36,100.62,0.79,Credit Card,0,Web,43.46,-80.4026,63.1161,Mozilla/5.0... (Simulado),0x3d7a42fa,0,v2.4.1,TXN-600005.txt
TXN-600006,2025-08-12T15:00:20.603921,STORE-004,SKU-00067,Colombia,---,user_6@colombia.com,38.0,COP,6564608.4,890911.14,4100.0,Crypto,Si,Web,18.83,-38.8834,67.8127,Mozilla/5.0... (Simulado),0x8c3d011,1,v2.4.1,TXN-600006.txt
TXN-600007,2026-02-23T15:00:20.620791,STORE-020,SKU-00004,México,Josue Castañeda,user_7@méxico.com,31.0,MXN,26445.79,3022.38,17.5,N/A,0,Social,33.79,12.1001,29.8829,Mozilla/5.0... (Simulado),0xe0949d30,0,v2.4.1,TXN-600007.txt
TXN-600008,2025-04-26T15:00:20.637714,STORE-005,SKU-00082,México,Müller S.,user_8@méxico.com,33.0,MXN,24404.94,2789.14,17.5,Crypto,Si,Web,31.89,38.076,154.3032,Mozilla/5.0... (Simulado),0x710b56ec,0,v2.4.1,TXN-600008.txt
TXN-600009,2025-05-28T15:00:20.658315,STORE-010,SKU-00059,México,Müller S.,user_9@méxico.com,26.0,MXN,4583.95,523.88,17.5,Credit Card,1,Store,49.64,-0.9308,-59.1848,Mozilla/5.0... (Simulado),0xe0dd38bc,0,v2.4.1,TXN-600009.txt
TXN-600010,2026-01-28T15:00:20.676429,STORE-018,SKU-00051,UK,Ángel Niño,user_10@uk.com,46.0,GBP,1045.68,149.38,0.79,N/A,Si,App,16.49,-28.7946,-68.6689,Mozilla/5.0... (Simulado),0x1d33ccb3,0,v2.4.1,TXN-600010.txt
TXN-600011,2025-04-27T15:00:20.694407,STORE-019,SKU-00079,USA,Null User,user_11@usa.com,29.0,USD,222.92,11.15,1.0,N/A,True,Social,31.64,-3.9844,-137.6746,Mozilla/5.0... (Simulado),0x195f6690,0,v2.4.1,TXN-600011.txt
TXN-600012,2025-10-06T15:00:20.712647,STORE-007,SKU-00149,España,---,user_12@españa.com,,EUR,542.16,81.32,0.92,N/A,No,Web,40.75,26.9598,-149.0852,Mozilla/5.0... (Simulado),0xc5b63b4c,0,v2.4.1,TXN-600012.txt
TXN-600013,2025-12-06T15:00:20.730031,STORE-017,SKU-00004,USA,Null User,user_13@usa.com,29.0,USD,1511.19,75.56,1.0,Cash,1,Store,15.6,-4.3105,-21.7568,Mozilla/5.0... (Simulado),0x54c1e27c,0,v2.4.1,TXN-600013.txt
TXN-600014,2025-09-01T15:00:20.748345,STORE-007,SKU-00067,España,---,user_14@españa.com,45.0,EUR,1473.03,220.96,0.92,Unknown,True,Web,11.23,27.4525,-171.079,Mozilla/5.0... (Simulado),0x3fd5b543,0,v2.4.1,TXN-600014.txt
TXN-600015,2025-08-25T15:00:20.769409,STORE-001,SKU-00119,UK,Null User,user_15@uk.com,36.0,GBP,364.5,52.07,0.79,Crypto,Si,Store,17.08,81.4726,126.1203,Mozilla/5.0... (Simulado),0xbe735e68,0,v2.4.1,TXN-600015.txt
TXN-600016,2025-10-01T15:00:20.788041,STORE-020,SKU-00007,México,Josue Castañeda,user_16@méxico.com,30.0,MXN,10708.46,1223.82,17.5,Credit Card,No,Web,16.07,-2.3111,-89.6821,Mozilla/5.0... (Simulado),0xb751b643,1,v2.4.1,TXN-600016.txt
TXN-600017,2025-11-27T15:00:20.807980,STORE-011,SKU-00092,USA,Josue Castañeda,user_17@usa.com,,USD,1230.82,61.54,1.0,Credit Card,Si,Web,31.16,73.9703,-33.0384,Mozilla/5.0... (Simulado),0x2082b649,0,v2.4.1,TXN-600017.txt
TXN-600018,2025-06-14T15:00:20.828824,STORE-011,SKU-ERROR-9187,USA,Müller S.,user_18@usa.com,38.0,USD,140.0,7.0,1.0,Cash,0,Store,35.79,83.8608,176.0495,Mozilla/5.0... (Simulado),0xf5821c47,1,v2.4.1,TXN-600018.txt
TXN-600019,2025-05-06T15:00:20.849739,STORE-003,SKU-00095,Colombia,---,user_19@colombia.com,43.0,JPY,5625027.8,763396.63,4100.0,Credit Card,0,Store,48.96,-87.6044,-174.0677,Mozilla/5.0... (Simulado),0xb66c0f0e,0,v2.4.1,TXN-600019.txt
TXN-600020,2025-09-08T15:00:20.868827,STORE-006,SKU-00135,UK,Null User,user_20@uk.com,37.0,GBP,856.57,122.37,0.79,Unknown,True,App,32.81,-53.9299,-127.8592,Mozilla/5.0... (Simulado),0x2131fbb2,1,v2.4.1,TXN-600020.txt
TXN-600021,2026-01-23T15:00:20.890069,STORE-019,SKU-00117,USA,Josue Castañeda,user_21@usa.com,23.0,USD,209.3,10.47,1.0,Cash,0,Web,49.18,13.1302,-7.6934,Mozilla/5.0... (Simulado),0xf27d7139,0,v2.4.1,TXN-600021.txt
TXN-600022,2025-10-07T15:00:20.908807,STORE-014,SKU-00129,USA,Josue Castañeda,user_22@usa.com,32.0,USD,165.3,8.26,1.0,Crypto,1,Store,29.1,-3.9432,-87.7364,Mozilla/5.0... (Simulado),0x247bd64,0,v2.4.1,TXN-600022.txt
TXN-600023,2025-09-16T15:00:20.929320,STORE-005,SKU-00086,México,Ángel Niño,user_23_wrong_mail,26.0,MXN,20637.58,2358.58,17.5,Cash,False,App,49.71,23.2263,61.3238,Mozilla/5.0... (Simulado),0x325a65d9,0,v2.4.1,TXN-600023.txt
TXN-600024,2025-05-20T15:00:20.948390,STORE-006,SKU-00122,UK,Null User,user_24@uk.com,38.0,GBP,378.05,54.01,0.79,Cash,False,Store,27.7,-33.5811,-104.5585,Mozilla/5.0... (Simulado),0xfd0041e7,1,v2.4.1,TXN-600024.txt
TXN-600025,2025-06-23T15:00:20.969046,STORE-005,SKU-00004,México,---,user_25@méxico.com,21.0,MXN,26445.79,3022.38,17.5,Cash,1,App,24.15,40.9477,-158.029,Mozilla/5.0... (Simulado),0xf77aef5a,0,v2.4.1,TXN-600025.txt
TXN-600026,2025-08-09T15:00:20.983710,STORE-016,SKU-00085,Colombia,---,user_26@colombia.com,,JPY,4736188.8,642768.48,4100.0,Crypto,False,Web,18.49,-45.1266,138.5786,Mozilla/5.0... (Simulado),0x36971f72,0,v2.4.1,TXN-600026.txt
TXN-600027,2025-05-29T15:00:21.002599,STORE-012,SKU-00023,México,Ángel Niño,user_27_wrong_mail,,MXN,18474.47,2111.37,17.5,Cash,Si,Social,11.53,-89.4894,154.7134,Mozilla/5.0... (Simulado),0xc4df7ce4,0,v2.4.1,TXN-600027.txt
TXN-600028,2025-12-11T15:00:21.020920,STORE-004,SKU-00018,Colombia,Müller S.,user_28_wrong_mail,27.0,COP,5176217.2,702486.62,4100.0,Unknown,1,App,29.12,64.9697,-62.8607,Mozilla/5.0... (Simulado),0x4df69e28,0,v2.4.1,TXN-600028.txt
TXN-600029,2025-04-22T15:00:21.040818,STORE-017,SKU-00097,USA,Ángel Niño,user_29_wrong_mail,40.0,USD,519.3,25.97,1.0,Crypto,No,Social,18.48,18.4712,111.2902,Mozilla/5.0... (Simulado),0xb4d2fe12,0,v2.4.1,TXN-600029.txt
TXN-600030,2025-05-26T15:00:21.056045,STORE-003,SKU-00123,Colombia,Null User,user_30@colombia.com,20.0,COP,980564.2,133076.57,4100.0,Cash,Si,Web,13.87,75.0405,179.1736,Mozilla/5.0... (Simulado),0xc25b20f1,0,v2.4.1,TXN-600030.txt
