Venta_ID,Fecha_ISO,Tienda_ID,SKU_ID,Pais_Venta,CLIENTE_NOMBRE_PII,CLIENTE_EMAIL_PII,CLIENTE_EDAD_PII,Moneda_Transaccion,Monto_Total_Local,Impuesto_Local,Tasa_Referencia_Dia,Metodo_Pago,Es_Online,Canal_Origen,Costo_Envio_USD,Latitud_Tienda,Longitud_Tienda,Browser_User_Agent,ID_Session_Web,Flag_Fraude,Version_Esquema,Ref_S3_TXT
TXN-600000,2025-08-11T15:00:20.492,STORE-001,SKU-00077,UK,Null User,user_0@uk.com,44,GBP,1024.76,146.39,0.79,Crypto,0,App,34.67,-18.0086,0.0843,Mozilla/5.0... (Simulado),0xcb2c83f6,0,v2.4.1,TXN-600000.txt
TXN-600001,2026-01-29T15:00:20.511,STORE-017,SKU-00008,USA,Müller S.,user_1@usa.com,33,USD,706.16,35.31,1,Crypto,0,App,45.37,-38.3724,127.374,Mozilla/5.0... (Simulado),0xd141323f,0,v2.4.1,TXN-600001.txt
TXN-600002,2025-10-30T15:00:20.526,STORE-009,SKU-00082,USA,Müller S.,user_2@usa.com,25,USD,1394.57,69.73,1,Crypto,1,Web,25.97,15.9027,-47.2338,Mozilla/5.0... (Simulado),0x74f10ced,0,v2.4.1,TXN-600002.txt
TXN-600003,2025-06-06T15:00:20.546,STORE-013,SKU-00112,USA,Müller S.,user_3@usa.com,27,USD,1196.51,59.83,1,Crypto,0,App,24.61,-76.6412,-88.2098,Mozilla/5.0... (Simulado),0x14137032,0,v2.4.1,TXN-600003.txt
,2025-05-01T15:00:20.566,STORE-005,SKU-00090,México,Null User,user_4@méxico.com,28,MXN,2771.44,316.74,17.5,Crypto,1,App,44.01,66.3781,57.1449,Mozilla/5.0... (Simulado),0x9671de31,0,v2.4.1,TXN-600004.txt
TXN-600005,2025-10-01T15:00:20.585,STORE-008,SKU-00105,UK,Müller S.,user_5@uk.com,32,GBP,704.36,100.62,0.79,Credit Card,0,Web,43.46,-80.4026,63.1161,Mozilla/5.0... (Simulado),0x3d7a42fa,0,v2.4.1,TXN-600005.txt
TXN-600006,2025-08-12T15:00:20.604,STORE-004,SKU-00067,Colombia,Müller S.,user_6@colombia.com,38,COP,6564608.4,890911.14,4100,Crypto,1,Web,18.83,-38.8834,67.8127,Mozilla/5.0... (Simulado),0x8c3d011,1,v2.4.1,TXN-600006.txt
TXN-600007,2026-02-23T15:00:20.621,STORE-020,SKU-00004,México,Null User,user_7@méxico.com,31,MXN,26445.79,3022.38,17.5,N/A,0,Social,33.79,12.1001,29.8829,Mozilla/5.0... (Simulado),0xe0949d30,0,v2.4.1,TXN-600007.txt
,2025-04-26T15:00:20.638,STORE-005,SKU-00082,México,Müller S.,user_8@méxico.com,33,MXN,24404.94,2789.14,17.5,Crypto,1,Web,31.89,38.076,154.3032,Mozilla/5.0... (Simulado),0x710b56ec,0,v2.4.1,TXN-600008.txt
TXN-600009,2025-05-28T15:00:20.658,STORE-010,SKU-00059,México,Null User,user_9@méxico.com,26,MXN,4583.95,523.88,17.5,Credit Card,1,Store,49.64,-0.9308,-59.1848,Mozilla/5.0... (Simulado),0xe0dd38bc,0,v2.4.1,TXN-600009.txt
TXN-600010,2026-01-28T15:00:20.676,STORE-018,SKU-00051,UK,Ángel Niño,user_10@uk.com,46,GBP,1045.68,149.38,0.79,N/A,1,App,16.49,-28.7946,-68.6689,Mozilla/5.0... (Simulado),0x1d33ccb3,0,v2.4.1,TXN-600010.txt
TXN-600011,2025-04-27T15:00:20.694,STORE-019,SKU-00079,USA,Null User,user_11@usa.com,29,USD,222.92,11.15,1,N/A,1,Social,31.64,-3.9844,-137.6746,Mozilla/5.0... (Simulado),0x195f6690,0,v2.4.1,TXN-600011.txt
TXN-600012,2025-10-06T15:00:20.713,STORE-007,SKU-00149,España,Josue Castañeda,user_12@españa.com,29,EUR,542.16,81.32,0.92,N/A,0,Web,40.75,26.9598,-149.0852,Mozilla/5.0... (Simulado),0xc5b63b4c,0,v2.4.1,TXN-600012.txt
TXN-600013,2025-12-06T15:00:20.730,STORE-017,SKU-00004,USA,Null User,user_13@usa.com,29,USD,1511.19,75.56,1,Cash,1,Store,15.6,-4.3105,-21.7568,Mozilla/5.0... (Simulado),0x54c1e27c,0,v2.4.1,TXN-600013.txt
